,smiles,amount,price,lead_time
169,Nc1cc(Cl)c(F)cc1Br,3,7.74,20.0
170,Nc1ccc(F)cc1CO,4,9.95,20.0
171,Nc1ccc(Oc2ccccc2)cc1[N+](=O)[O-],1,71.5,30.0
172,NNc1ccc(F)c(Cl)c1,4,17.05,16.7
173,Nc1cc(F)cc(Br)c1N,4,22.1,30.0
174,Nc1ccc(F)c(B(O)O)c1,4,80.67,34.0
175,Nc1ccc(Oc2cccc(N)c2)cc1,2,6.63,20.0
176,Nc1ccc(F)cc1O,3,11.7,30.0
177,CCOC(=O)c1cc(N)ccc1F,1,14.3,30.0
178,Nc1cc(F)c(F)c(F)c1,3,6.5,30.0
179,Nc1cc(F)c(F)cc1CO,3,28.83,31.0
180,Nc1ccc(F)c(Cl)c1,3,11.99,14.4
181,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,6,33.31,31.0
182,Cc1nnc(Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)[nH]c1=O,2,49.87,22.0
183,Cc1c(C(=O)O)sc2ccc(Cl)cc12,1,23.21,20.0
184,Nc1cc(Br)c(F)cc1Br,3,18.2,30.0
185,Nc1ccc(F)c([N+](=O)[O-])c1,2,15.89,12.2
186,COc1ccc(C(=O)O)cc1C#N,1,21.0,20.0
187,Cc1cc(Oc2ccccc2)ccc1N,1,22.93,31.0
188,N#Cc1cc(N)c(Br)cc1F,3,14.3,30.0
189,CC1Cc2cc(F)ccc2N1,2,46.41,20.0
190,Nc1cc(Cl)c(F)cc1I,4,37.57,20.0
191,CNc1ccc(F)cc1Br,3,17.68,20.0
192,Nc1cc([N+](=O)[O-])ccc1F,2,16.19,11.1
193,Cc1cc(F)cc(Br)c1N,1,25.71,10.0
194,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)O)c1,1,25.71,10.0
195,O=C(CSc1cnn[nH]1)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,1,30.79,17.0
196,N#Cc1cc(N)ccc1F,2,5.2,30.0
197,Fc1cc2c(cc1F)NCC2,2,14.3,30.0
